Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,8.110000,8.500000,8.110000,8.500000,8.500000,162300
2017-01-04,8.640000,8.640000,8.350000,8.530000,8.530000,155200
2017-01-05,8.740000,9.200000,8.740000,9.160000,9.160000,285100
2017-01-06,8.960000,9.210000,8.570000,8.770000,8.770000,239800
2017-01-09,9.010000,9.200000,8.850000,8.890000,8.890000,371300
2017-01-10,9.000000,9.240000,8.910000,9.060000,9.060000,153100
2017-01-11,8.990000,9.150000,8.790000,9.050000,9.050000,187500
2017-01-12,9.250000,9.250000,8.870000,8.920000,8.920000,172900
2017-01-13,8.830000,9.020000,8.740000,9.020000,9.020000,48600
2017-01-16,9.360000,9.360000,9.090000,9.210000,9.210000,76800
2017-01-17,9.370000,9.370000,9.150000,9.250000,9.250000,148000
2017-01-18,9.240000,9.280000,8.970000,9.110000,9.110000,99300
2017-01-19,8.960000,9.170000,8.880000,9.050000,9.050000,70100
2017-01-20,9.080000,9.270000,8.950000,9.140000,9.140000,118700
2017-01-23,9.220000,9.350000,9.120000,9.320000,9.320000,134700
2017-01-24,9.300000,9.390000,9.060000,9.130000,9.130000,89400
2017-01-25,8.970000,9.010000,8.870000,8.970000,8.970000,103400
2017-01-26,8.770000,8.920000,8.750000,8.830000,8.830000,95000
2017-01-27,8.850000,9.030000,8.850000,9.020000,9.020000,69400
2017-01-30,9.120000,9.220000,9.020000,9.040000,9.040000,160100
2017-01-31,9.220000,9.220000,9.100000,9.150000,9.150000,51200
2017-02-01,9.040000,9.310000,9.040000,9.280000,9.280000,112000
2017-02-02,9.420000,9.450000,9.350000,9.370000,9.370000,68600
2017-02-03,9.360000,9.500000,9.350000,9.470000,9.470000,49900
2017-02-06,9.620000,10.140000,9.620000,10.120000,10.120000,187100
2017-02-07,10.030000,10.300000,10.000000,10.050000,10.050000,201600
2017-02-08,10.210000,10.400000,10.140000,10.180000,10.180000,81600
2017-02-09,10.240000,10.240000,9.900000,9.930000,9.930000,215600
2017-02-10,9.730000,10.050000,9.700000,10.000000,10.000000,161800
2017-02-13,9.920000,9.960000,9.850000,9.890000,9.890000,43400
2017-02-14,10.000000,10.010000,9.750000,9.910000,9.910000,134500
2017-02-15,9.840000,9.950000,9.780000,9.790000,9.790000,46100
2017-02-16,9.870000,10.020000,9.870000,9.940000,9.940000,87300
2017-02-17,9.990000,10.000000,9.750000,9.750000,9.750000,35800
2017-02-21,9.600000,9.800000,9.500000,9.670000,9.670000,56800
2017-02-22,9.700000,9.730000,9.380000,9.550000,9.550000,85000
2017-02-23,9.760000,9.770000,9.490000,9.490000,9.490000,44100
2017-02-24,9.650000,9.650000,9.370000,9.370000,9.370000,36100
2017-02-27,9.370000,9.510000,8.520000,8.530000,8.530000,161600
2017-02-28,8.750000,8.870000,8.600000,8.680000,8.680000,77500
2017-03-01,8.540000,8.880000,8.470000,8.820000,8.820000,99400
2017-03-02,8.680000,8.760000,8.200000,8.250000,8.250000,135300
2017-03-03,8.190000,8.600000,8.130000,8.520000,8.520000,133300
2017-03-06,8.530000,8.530000,7.990000,8.190000,8.190000,188800
2017-03-07,8.060000,8.320000,7.940000,8.180000,8.180000,85200
2017-03-08,8.020000,8.250000,8.000000,8.120000,8.120000,93100
2017-03-09,8.140000,8.210000,8.040000,8.060000,8.060000,116800
2017-03-10,8.090000,8.420000,8.050000,8.380000,8.380000,86800
2017-03-13,8.450000,8.830000,8.360000,8.740000,8.740000,113900
2017-03-14,8.750000,8.880000,8.340000,8.380000,8.380000,134600
2017-03-15,8.420000,9.140000,8.350000,9.100000,9.100000,188300
2017-03-16,9.290000,9.290000,8.980000,9.050000,9.050000,126500
2017-03-17,9.050000,9.100000,8.650000,8.700000,8.700000,96800
2017-03-20,8.710000,8.950000,8.710000,8.950000,8.950000,25100
2017-03-21,8.940000,9.220000,8.940000,9.050000,9.050000,105500
2017-03-22,9.100000,9.110000,8.940000,8.970000,8.970000,101600
2017-03-23,9.030000,9.030000,8.600000,8.820000,8.820000,102000
2017-03-24,8.820000,8.940000,8.750000,8.830000,8.830000,36700
2017-03-27,9.080000,9.080000,8.880000,8.960000,8.960000,53900
2017-03-28,8.980000,8.980000,8.620000,8.750000,8.750000,79700
2017-03-29,8.780000,8.940000,8.770000,8.900000,8.900000,72400
2017-03-30,8.770000,8.810000,8.720000,8.760000,8.760000,40100
2017-03-31,8.760000,8.980000,8.720000,8.880000,8.880000,23700
2017-04-03,8.870000,9.060000,8.870000,9.040000,9.040000,74800
2017-04-04,9.080000,9.130000,9.010000,9.050000,9.050000,78800
2017-04-05,8.970000,9.190000,8.900000,9.130000,9.130000,124100
2017-04-06,9.140000,9.150000,8.980000,9.070000,9.070000,64800
2017-04-07,9.250000,9.250000,8.920000,9.040000,9.040000,121300
2017-04-10,8.980000,9.070000,8.900000,9.050000,9.050000,43900
2017-04-11,9.200000,9.310000,9.110000,9.280000,9.280000,322800
2017-04-12,9.290000,9.370000,9.170000,9.370000,9.370000,85900
2017-04-13,9.340000,9.340000,9.090000,9.140000,9.140000,192200
2017-04-17,9.110000,9.110000,8.860000,9.030000,9.030000,192400
2017-04-18,9.010000,9.180000,8.920000,9.080000,9.080000,35200
2017-04-19,9.000000,9.000000,8.590000,8.850000,8.850000,78800
2017-04-20,8.820000,8.900000,8.780000,8.810000,8.810000,46600
2017-04-21,8.820000,8.850000,8.750000,8.820000,8.820000,19800
2017-04-24,8.660000,8.660000,8.480000,8.550000,8.550000,58100
2017-04-25,8.400000,8.430000,8.020000,8.240000,8.240000,102200
2017-04-26,8.170000,8.310000,7.950000,8.250000,8.250000,91400
2017-04-27,8.240000,8.240000,8.010000,8.140000,8.140000,40900
2017-04-28,8.140000,8.400000,8.140000,8.310000,8.310000,32200
2017-05-01,8.210000,8.220000,7.880000,8.060000,8.060000,70100
2017-05-02,8.090000,8.170000,8.010000,8.030000,8.030000,62300
2017-05-03,7.980000,8.060000,7.850000,7.900000,7.900000,47500
2017-05-04,7.760000,7.770000,7.540000,7.630000,7.630000,89400
2017-05-05,7.680000,7.830000,7.650000,7.790000,7.790000,50800
2017-05-08,7.810000,7.810000,7.650000,7.810000,7.810000,38800
2017-05-09,7.750000,7.850000,7.680000,7.850000,7.850000,17700
2017-05-10,8.020000,8.130000,7.970000,8.070000,8.070000,49700
2017-05-11,8.160000,8.340000,8.150000,8.310000,8.310000,49700
2017-05-12,8.430000,8.520000,8.390000,8.430000,8.430000,40400
2017-05-15,8.610000,8.610000,8.250000,8.420000,8.420000,31300
2017-05-16,8.500000,8.520000,8.420000,8.490000,8.490000,18100
2017-05-17,8.630000,8.720000,8.530000,8.630000,8.630000,48500
2017-05-18,8.570000,8.570000,8.440000,8.490000,8.490000,23200
2017-05-19,8.570000,8.570000,8.390000,8.440000,8.440000,24000
2017-05-23,8.470000,8.500000,8.160000,8.240000,8.240000,45400
2017-05-24,8.180000,8.230000,7.930000,8.200000,8.200000,26500
2017-05-25,8.130000,8.200000,8.060000,8.190000,8.190000,16800
2017-05-26,8.260000,8.260000,8.140000,8.140000,8.140000,15400
2017-05-29,8.140000,8.140000,8.100000,8.100000,8.100000,3900
2017-05-30,8.030000,8.060000,7.980000,8.000000,8.000000,20500
2017-05-31,8.030000,8.030000,7.900000,7.990000,7.990000,122100
2017-06-01,7.900000,7.980000,7.870000,7.920000,7.920000,14100
2017-06-02,8.030000,8.100000,8.000000,8.050000,8.050000,23600
2017-06-05,8.180000,8.270000,8.040000,8.270000,8.270000,89100
2017-06-06,8.410000,8.730000,8.400000,8.730000,8.730000,161600
2017-06-07,8.660000,8.890000,8.610000,8.880000,8.880000,106500
2017-06-08,8.810000,8.810000,8.600000,8.710000,8.710000,68300
2017-06-09,8.570000,8.620000,8.540000,8.580000,8.580000,33400
2017-06-12,8.500000,8.710000,8.500000,8.680000,8.680000,55000
2017-06-13,8.610000,8.910000,8.540000,8.830000,8.830000,96600
2017-06-14,8.990000,9.010000,8.260000,8.300000,8.300000,112700
2017-06-15,8.220000,8.500000,8.220000,8.390000,8.390000,217100
2017-06-16,8.410000,8.490000,8.330000,8.360000,8.360000,27300
2017-06-19,8.360000,8.490000,8.350000,8.350000,8.350000,40900
2017-06-20,8.390000,8.410000,8.300000,8.390000,8.390000,22600
2017-06-21,8.410000,8.540000,8.410000,8.440000,8.440000,8500
2017-06-22,8.600000,8.620000,8.510000,8.620000,8.620000,100600
2017-06-23,8.720000,8.780000,8.680000,8.770000,8.770000,39100
2017-06-26,8.660000,8.800000,8.630000,8.710000,8.710000,33500
2017-06-27,8.730000,8.730000,8.640000,8.730000,8.730000,10200
2017-06-28,8.770000,8.770000,8.610000,8.730000,8.730000,9300
2017-06-29,8.630000,8.630000,8.560000,8.590000,8.590000,29900
2017-06-30,8.530000,8.660000,8.530000,8.610000,8.610000,16600
2017-07-04,8.400000,8.510000,8.350000,8.370000,8.370000,28400
2017-07-05,8.340000,8.500000,8.340000,8.420000,8.420000,11900
2017-07-06,8.530000,8.530000,8.410000,8.450000,8.450000,26400
2017-07-07,8.390000,8.390000,8.180000,8.220000,8.220000,28700
2017-07-10,8.180000,8.470000,8.180000,8.470000,8.470000,4500
2017-07-11,8.470000,8.510000,8.410000,8.510000,8.510000,13700
2017-07-12,8.590000,8.620000,8.460000,8.460000,8.460000,12000
2017-07-13,8.450000,8.450000,8.290000,8.290000,8.290000,25800
2017-07-14,8.480000,8.480000,8.310000,8.310000,8.310000,9900
2017-07-17,8.400000,8.470000,8.380000,8.420000,8.420000,19900
2017-07-18,8.540000,8.540000,8.430000,8.470000,8.470000,67000
2017-07-19,8.460000,8.460000,8.390000,8.410000,8.410000,9300
2017-07-20,8.390000,8.490000,8.390000,8.420000,8.420000,25600
2017-07-21,8.510000,8.510000,8.420000,8.420000,8.420000,13900
2017-07-24,8.470000,8.470000,8.210000,8.220000,8.220000,46800
2017-07-25,8.210000,8.270000,8.140000,8.160000,8.160000,15400
2017-07-26,8.140000,8.380000,8.130000,8.350000,8.350000,18100
2017-07-27,8.480000,8.480000,8.290000,8.350000,8.350000,38700
2017-07-28,8.390000,8.540000,8.390000,8.530000,8.530000,44200
2017-07-31,8.560000,8.640000,8.510000,8.510000,8.510000,17400
2017-08-01,8.480000,8.560000,8.460000,8.460000,8.460000,13200
