Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,8.940000,9.090000,8.480000,8.480000,8.480000,14900
2017-01-04,8.460000,8.740000,8.460000,8.740000,8.740000,5100
2017-01-05,8.850000,8.940000,8.730000,8.890000,8.890000,9100
2017-01-06,8.980000,9.060000,8.980000,8.980000,8.980000,12600
2017-01-09,8.940000,8.940000,8.620000,8.630000,8.630000,4700
2017-01-10,8.630000,8.630000,8.480000,8.480000,8.480000,2800
2017-01-11,8.510000,8.720000,8.510000,8.720000,8.720000,5800
2017-01-12,9.000000,9.000000,8.850000,8.850000,8.850000,1200
2017-01-13,8.740000,8.760000,8.740000,8.760000,8.760000,1000
2017-01-16,8.780000,8.790000,8.720000,8.720000,8.720000,4700
2017-01-17,9.110000,9.110000,8.840000,8.840000,8.840000,5300
2017-01-18,8.650000,8.650000,8.600000,8.600000,8.600000,2100
2017-01-19,8.610000,8.660000,8.600000,8.600000,8.600000,1800
2017-01-20,8.800000,8.860000,8.800000,8.850000,8.850000,5600
2017-01-23,8.740000,8.760000,8.710000,8.750000,8.750000,7900
2017-01-24,8.860000,8.890000,8.800000,8.800000,8.800000,9300
2017-01-25,8.870000,8.870000,8.850000,8.850000,8.850000,300
2017-01-26,8.990000,9.020000,8.820000,9.020000,9.020000,18700
2017-01-27,8.960000,8.960000,8.800000,8.880000,8.880000,3600
2017-01-30,8.800000,8.800000,8.760000,8.760000,8.760000,3200
2017-01-31,8.870000,8.900000,8.870000,8.900000,8.900000,2800
2017-02-01,8.850000,8.960000,8.850000,8.930000,8.930000,5900
2017-02-02,9.030000,9.030000,8.980000,9.000000,9.000000,28300
2017-02-03,9.000000,9.070000,9.000000,9.070000,9.070000,2100
2017-02-06,9.070000,9.070000,8.930000,8.930000,8.930000,2300
2017-02-07,8.730000,8.810000,8.650000,8.650000,8.650000,14400
2017-02-08,8.640000,8.670000,8.600000,8.640000,8.640000,16200
2017-02-09,8.730000,8.780000,8.730000,8.780000,8.780000,1100
2017-02-10,8.870000,8.870000,8.860000,8.870000,8.870000,600
2017-02-13,8.780000,8.780000,8.780000,8.780000,8.780000,2000
2017-02-14,8.770000,8.770000,8.710000,8.750000,8.750000,2100
2017-02-15,8.680000,8.750000,8.680000,8.750000,8.750000,2200
2017-02-16,8.640000,8.640000,8.640000,8.640000,8.640000,300
2017-02-17,8.730000,8.730000,8.730000,8.730000,8.730000,200
2017-02-21,8.920000,8.980000,8.920000,8.980000,8.980000,8100
2017-02-22,8.980000,8.980000,8.980000,8.980000,8.980000,0
2017-02-23,8.910000,8.920000,8.500000,8.920000,8.920000,5800
2017-02-24,8.880000,8.880000,8.820000,8.820000,8.820000,400
2017-02-27,8.870000,8.900000,8.840000,8.840000,8.840000,3300
2017-02-28,8.690000,8.700000,8.680000,8.700000,8.700000,1200
2017-03-01,8.980000,9.020000,8.900000,8.900000,8.900000,13000
2017-03-02,8.740000,8.780000,8.610000,8.610000,8.610000,6000
2017-03-03,8.740000,8.760000,8.690000,8.760000,8.760000,5500
2017-03-06,8.760000,8.760000,8.760000,8.760000,8.760000,100
2017-03-07,8.760000,8.760000,8.760000,8.760000,8.760000,0
2017-03-08,8.650000,8.650000,8.130000,8.130000,8.130000,3800
2017-03-09,8.080000,8.080000,7.750000,8.040000,8.040000,29900
2017-03-10,7.910000,7.920000,7.700000,7.710000,7.710000,8300
2017-03-13,7.790000,7.790000,7.680000,7.680000,7.680000,6800
2017-03-14,7.600000,7.600000,7.460000,7.590000,7.590000,32200
2017-03-15,7.740000,7.820000,7.710000,7.820000,7.820000,3000
2017-03-16,7.890000,7.890000,7.780000,7.780000,7.780000,1900
2017-03-17,7.800000,7.850000,7.800000,7.830000,7.830000,6000
2017-03-20,7.830000,7.850000,7.770000,7.840000,7.840000,5100
2017-03-21,7.900000,7.900000,7.790000,7.790000,7.790000,2600
2017-03-22,7.640000,7.800000,7.640000,7.800000,7.800000,4700
2017-03-23,7.640000,7.650000,7.640000,7.640000,7.640000,2900
2017-03-24,7.620000,7.720000,7.600000,7.720000,7.720000,1600
2017-03-27,7.640000,7.650000,7.570000,7.650000,7.650000,5300
2017-03-28,7.700000,8.100000,7.700000,7.880000,7.880000,8200
2017-03-29,8.040000,8.200000,7.990000,8.090000,8.090000,5200
2017-03-30,8.090000,8.090000,8.090000,8.090000,8.090000,0
2017-03-31,8.610000,8.610000,8.310000,8.420000,8.420000,3600
2017-04-03,8.350000,8.490000,8.350000,8.490000,8.490000,7600
2017-04-04,8.550000,8.670000,8.550000,8.670000,8.670000,6400
2017-04-05,8.790000,8.860000,8.680000,8.680000,8.680000,8100
2017-04-06,8.830000,8.840000,8.830000,8.840000,8.840000,6300
2017-04-07,8.860000,8.900000,8.840000,8.840000,8.840000,12200
2017-04-10,8.970000,8.990000,8.970000,8.990000,8.990000,20800
2017-04-11,9.040000,9.120000,9.010000,9.010000,9.010000,30800
2017-04-12,9.180000,9.200000,9.070000,9.070000,9.070000,9100
2017-04-13,9.150000,9.220000,9.140000,9.150000,9.150000,9300
2017-04-17,9.230000,9.230000,9.120000,9.120000,9.120000,5800
2017-04-18,8.990000,9.300000,8.990000,9.300000,9.300000,7900
2017-04-19,9.160000,9.160000,8.600000,8.650000,8.650000,5500
2017-04-20,8.600000,8.640000,8.600000,8.640000,8.640000,5200
2017-04-21,8.600000,8.600000,8.340000,8.430000,8.430000,4100
2017-04-24,8.360000,8.360000,8.300000,8.340000,8.340000,12300
2017-04-25,8.250000,8.440000,8.250000,8.440000,8.440000,4500
2017-04-26,8.350000,8.480000,8.350000,8.480000,8.480000,6800
2017-04-27,8.170000,8.170000,8.170000,8.170000,8.170000,300
2017-04-28,8.500000,8.590000,8.470000,8.480000,8.480000,1400
2017-05-01,8.480000,8.480000,8.480000,8.480000,8.480000,0
2017-05-02,8.360000,8.360000,8.090000,8.240000,8.240000,48000
2017-05-03,8.200000,8.200000,8.100000,8.110000,8.110000,6500
2017-05-04,8.020000,8.020000,7.700000,7.700000,7.700000,39000
2017-05-05,7.760000,7.950000,7.760000,7.890000,7.890000,6800
2017-05-08,7.910000,7.920000,7.720000,7.880000,7.880000,17000
2017-05-09,7.880000,7.880000,7.600000,7.600000,7.600000,5200
2017-05-10,7.890000,8.570000,7.890000,8.210000,8.210000,15100
2017-05-11,8.230000,8.230000,8.160000,8.190000,8.190000,1600
2017-05-12,8.120000,8.120000,8.120000,8.120000,8.120000,2900
2017-05-15,8.520000,8.630000,8.450000,8.450000,8.450000,16000
2017-05-16,8.550000,8.550000,8.550000,8.550000,8.550000,500
2017-05-17,8.520000,8.630000,8.500000,8.500000,8.500000,13200
2017-05-18,8.370000,8.620000,8.370000,8.580000,8.580000,8000
2017-05-19,8.800000,8.800000,8.720000,8.790000,8.790000,13800
2017-05-23,8.880000,8.970000,8.880000,8.970000,8.970000,10000
2017-05-24,8.950000,9.030000,8.950000,8.960000,8.960000,12500
2017-05-25,8.810000,8.910000,8.420000,8.420000,8.420000,3800
2017-05-26,8.420000,8.420000,8.420000,8.420000,8.420000,0
2017-05-29,8.420000,8.420000,8.420000,8.420000,8.420000,0
2017-05-30,8.600000,8.650000,8.600000,8.650000,8.650000,900
2017-05-31,8.350000,8.430000,8.330000,8.430000,8.430000,5100
2017-06-01,8.410000,8.450000,8.300000,8.320000,8.320000,9600
2017-06-02,8.260000,8.260000,8.100000,8.220000,8.220000,5100
2017-06-05,8.130000,8.130000,8.020000,8.020000,8.020000,7800
2017-06-06,8.180000,8.190000,8.180000,8.190000,8.190000,1200
2017-06-07,8.000000,8.000000,7.780000,7.790000,7.790000,37900
2017-06-08,7.810000,7.840000,7.750000,7.800000,7.800000,18300
2017-06-09,7.850000,7.890000,7.780000,7.840000,7.840000,29000
2017-06-12,7.990000,7.990000,7.890000,7.890000,7.890000,1900
2017-06-13,7.780000,7.910000,7.780000,7.910000,7.910000,4500
2017-06-14,7.870000,7.870000,7.510000,7.600000,7.600000,21100
